"id","station_code","station_name","latitude","longitude","level"
1,"/Z9zOAr1dQ8K","Central Office",NULL,NULL,1
2,"/Z9zOAr1dQ8K/AP0oByfeNOO","Mashonaland East",NULL,NULL,2
3,"/Z9zOAr1dQ8K/AP0oByfeNOO/A1qfbn7GkEj","Chikomba ",NULL,NULL,3
4,"/Z9zOAr1dQ8K/AP0oByfeNOO/A1qfbn7GkEj/GVp3L9G62Gc","Gokomere Clinic",NULL,NULL,4
5,"/Z9zOAr1dQ8K/AP0oByfeNOO/At0CT70yl34","Hwedza ",NULL,NULL,3
6,"/Z9zOAr1dQ8K/AP0oByfeNOO/At0CT70yl34/mbDBz6MSz7W","Mt. St Marys Mission Hospital",NULL,NULL,4
7,"/Z9zOAr1dQ8K/dqA5ZJs7S5m","Mashonaland West",NULL,NULL,2
8,"/Z9zOAr1dQ8K/dqA5ZJs7S5m/EdrwoNn5vSY","Hurungwe ",NULL,NULL,3
9,"/Z9zOAr1dQ8K/dqA5ZJs7S5m/EdrwoNn5vSY/OLRUUHnqxid","Wellness Centre Road Site Clinic",NULL,NULL,4
11,"/Z9zOAr1dQ8K/gLRkKaY6yuS/DlE6bBnEvJT","Bulawayo",NULL,NULL,3
12,"/Z9zOAr1dQ8K/gLRkKaY6yuS/DlE6bBnEvJT/AQUWX00pVHC","Cowdray Park Clinic",NULL,NULL,4
13,"/Z9zOAr1dQ8K/gLRkKaY6yuS/DlE6bBnEvJT/AU3HqiX44Iu","Tshabalala Clinic",NULL,NULL,4
14,"/Z9zOAr1dQ8K/gLRkKaY6yuS/DlE6bBnEvJT/BNmgLUTqvi9","United Bulawayo Hospital Central Hospital",NULL,NULL,4
15,"/Z9zOAr1dQ8K/gLRkKaY6yuS/DlE6bBnEvJT/bTFUZdQpl2O","Pumula Clinic",NULL,NULL,4
16,"/Z9zOAr1dQ8K/gLRkKaY6yuS/DlE6bBnEvJT/cIHo19pHPnw","Emakhandeni Clinic",NULL,NULL,4
17,"/Z9zOAr1dQ8K/gLRkKaY6yuS/DlE6bBnEvJT/en6HLtwW3sN","Northern Suburbs Clinic",NULL,NULL,4
18,"/Z9zOAr1dQ8K/gLRkKaY6yuS/DlE6bBnEvJT/ETnCTKuzUNg","Emganwini Clinic",NULL,NULL,4
